english_name,german_name,short_name,german_link,english_link
Player's Handbook,Spielerhandbuch,PHB,https://amzn.to/46OfzC2,https://amzn.to/4crDZ5n
Monster Manual,Monsterhandbuch,MM,https://amzn.to/4ctoWYP,https://amzn.to/3X3avq1
Dungeon Master's Guide,Spielleiterhandbuch,DMG,https://amzn.to/3WNDXPp,https://amzn.to/3AliQMP
Tasha's Cauldron of Everything,Tashas Kessel mit Allem,TCE,https://amzn.to/4cDl9sk,https://amzn.to/3AoQSjg
Volo's Guide to Monsters,Volo's Guide to Monsters,VGM,https://amzn.to/3YOtMwJ,https://amzn.to/3YOtMwJ
Keys from the Golden Vault,Die Schlüssel des Goldenen Tresors,KGV,https://amzn.to/4dOqLka,https://amzn.to/4dps1e0
Fizban’s Treasury of Dragons,Fizban’s Treasury of Dragons,FTD,https://amzn.to/4dxbLYj,https://amzn.to/3WOApwj
Xanathar's Guide to Everything,Dungeons & Dragons Xanathars Ratgeber für Alles,XGTE,https://amzn.to/4dpZzst,https://amzn.to/4fNmYpe
2024 Player’s Handbook,2024 Player’s Handbook,PHB 2024,https://amzn.to/3MgPFNz,https://amzn.to/3MgPFNz
Curse of Strahd,Fluch des Strahd,CoS,https://amzn.to/3WXhBvc,https://amzn.to/4cx1ydh
2024 Monster Manual,2024 Monster Manual,MM 2024,https://amzn.to/3ACjpSw,https://amzn.to/3ACjpSw
